2024-08-26 22:20:41,313 - DEBUG  - 28.00: Job 33 is released with routing: ['s1-1', 's2-1'], process_times: [1.422 0.869]
2024-08-26 22:20:41,319 - DEBUG  - 30.14: Job 33 is being processed at the workstation s1-1.
2024-08-26 22:20:41,325 - DEBUG  - 32.58: Job 33 is being processed at the workstation s2-1.
2024-08-26 22:20:41,326 - DEBUG  - 33.45: Job 33 finished at workstation s2-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,288 - DEBUG  - 20.00: Job 34 is released with routing: ['s2-2', 's1-1'], process_times: [1.019 0.974]
2024-08-26 22:20:41,289 - DEBUG  - 20.97: Job 34 is being processed at the workstation s2-2.
2024-08-26 22:20:41,300 - DEBUG  - 23.72: Job 34 is being processed at the workstation s1-1.
2024-08-26 22:20:41,305 - DEBUG  - 24.69: Job 34 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,302 - DEBUG  - 24.00: Job 35 is released with routing: ['s4-1', 's5-1', 's3-1'], process_times: [1.506 0.049 1.034]
2024-08-26 22:20:41,305 - DEBUG  - 24.29: Job 35 is being processed at the workstation s4-1.
2024-08-26 22:20:41,307 - DEBUG  - 26.30: Job 35 is being processed at the workstation s5-1.
2024-08-26 22:20:41,309 - DEBUG  - 26.51: Job 35 is being processed at the workstation s3-1.
2024-08-26 22:20:41,312 - DEBUG  - 27.54: Job 35 finished at workstation s3-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,284 - DEBUG  - 19.57: Job 36 is released with routing: ['s5-1', 's4-1'], process_times: [1.734 0.668]
2024-08-26 22:20:41,289 - DEBUG  - 20.57: Job 36 is being processed at the workstation s5-1.
2024-08-26 22:20:41,317 - DEBUG  - 29.41: Job 36 is being processed at the workstation s4-1.
2024-08-26 22:20:41,318 - DEBUG  - 30.08: Job 36 finished at workstation s4-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,303 - DEBUG  - 24.00: Job 37 is released with routing: ['s4-1', 's5-1', 's2-2', 's3-1'], process_times: [1.029 0.903 2.037 1.032]
2024-08-26 22:20:41,308 - DEBUG  - 26.37: Job 37 is being processed at the workstation s4-1.
2024-08-26 22:20:41,318 - DEBUG  - 29.50: Job 37 is being processed at the workstation s5-1.
2024-08-26 22:20:41,320 - DEBUG  - 31.30: Job 37 is being processed at the workstation s2-2.
2024-08-26 22:20:41,327 - DEBUG  - 33.57: Job 37 is being processed at the workstation s3-1.
2024-08-26 22:20:41,328 - DEBUG  - 34.60: Job 37 finished at workstation s3-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,314 - DEBUG  - 28.00: Job 38 is released with routing: ['s4-1', 's3-1', 's5-2', 's2-1', 's1-1'], process_times: [1.624 0.592 1.921 1.279 0.263]
2024-08-26 22:20:41,319 - DEBUG  - 30.08: Job 38 is being processed at the workstation s4-1.
2024-08-26 22:20:41,323 - DEBUG  - 31.98: Job 38 is being processed at the workstation s3-1.
2024-08-26 22:20:41,326 - DEBUG  - 33.09: Job 38 is being processed at the workstation s5-2.
2024-08-26 22:20:41,328 - DEBUG  - 35.45: Job 38 is being processed at the workstation s2-1.
2024-08-26 22:20:41,331 - DEBUG  - 37.55: Job 38 is being processed at the workstation s1-1.
2024-08-26 22:20:41,331 - DEBUG  - 37.81: Job 38 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,292 - DEBUG  - 21.45: Job 39 is released with routing: ['s2-1', 's5-2', 's4-1', 's1-1', 's3-2'], process_times: [0.789 0.728 1.731 2.441 4.   ]
2024-08-26 22:20:41,296 - DEBUG  - 22.45: Job 39 is being processed at the workstation s2-1.
2024-08-26 22:20:41,310 - DEBUG  - 27.36: Job 39 is being processed at the workstation s5-2.
2024-08-26 22:20:41,322 - DEBUG  - 31.70: Job 39 is being processed at the workstation s4-1.
2024-08-26 22:20:41,327 - DEBUG  - 34.11: Job 39 is being processed at the workstation s1-1.
2024-08-26 22:20:41,330 - DEBUG  - 37.33: Job 39 is being processed at the workstation s3-2.
2024-08-26 22:20:41,333 - DEBUG  - 41.33: Job 39 finished at workstation s3-2 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,218 - DEBUG  - 2.75: Job 4 is released with routing: ['s4-1', 's3-2'], process_times: [0.609 1.47 ]
2024-08-26 22:20:41,222 - DEBUG  - 3.75: Job 4 is being processed at the workstation s4-1.
2024-08-26 22:20:41,224 - DEBUG  - 4.78: Job 4 is being processed at the workstation s3-2.
2024-08-26 22:20:41,228 - DEBUG  - 6.25: Job 4 finished at workstation s3-2 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,322 - DEBUG  - 31.64: Job 40 is released with routing: ['s1-1', 's4-1'], process_times: [1.466 0.65 ]
2024-08-26 22:20:41,325 - DEBUG  - 32.64: Job 40 is being processed at the workstation s1-1.
2024-08-26 22:20:41,328 - DEBUG  - 34.43: Job 40 is being processed at the workstation s4-1.
2024-08-26 22:20:41,328 - DEBUG  - 35.08: Job 40 finished at workstation s4-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,224 - DEBUG  - 4.90: Job 5 is released with routing: ['s1-1', 's3-2', 's5-1'], process_times: [1.04  0.718 0.267]
2024-08-26 22:20:41,232 - DEBUG  - 7.31: Job 5 is being processed at the workstation s1-1.
2024-08-26 22:20:41,239 - DEBUG  - 8.80: Job 5 is being processed at the workstation s3-2.
2024-08-26 22:20:41,244 - DEBUG  - 10.49: Job 5 is being processed at the workstation s5-1.
2024-08-26 22:20:41,246 - DEBUG  - 10.76: Job 5 finished at workstation s5-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,226 - DEBUG  - 5.35: Job 6 is released with routing: ['s5-2', 's3-2', 's2-1', 's1-1'], process_times: [2.611 1.155 0.549 0.618]
2024-08-26 22:20:41,229 - DEBUG  - 6.35: Job 6 is being processed at the workstation s5-2.
2024-08-26 22:20:41,241 - DEBUG  - 9.52: Job 6 is being processed at the workstation s3-2.
2024-08-26 22:20:41,247 - DEBUG  - 11.70: Job 6 is being processed at the workstation s2-1.
2024-08-26 22:20:41,256 - DEBUG  - 12.38: Job 6 is being processed at the workstation s1-1.
2024-08-26 22:20:41,258 - DEBUG  - 13.00: Job 6 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,230 - DEBUG  - 6.78: Job 7 is released with routing: ['s2-1', 's5-2'], process_times: [0.892 1.087]
2024-08-26 22:20:41,231 - DEBUG  - 7.06: Job 7 is being processed at the workstation s2-1.
2024-08-26 22:20:41,240 - DEBUG  - 8.96: Job 7 is being processed at the workstation s5-2.
2024-08-26 22:20:41,242 - DEBUG  - 10.05: Job 7 finished at workstation s5-2 and is transported to the warehouse output-warehouse
